Time [min],Total Droplet Count - Aggregate - Suction Off,Total Droplet Count - Aggregate - Suction On,Total Volume - Aggregate - Suction Off,Total Volume - Aggregate - Suction On
0,3.24E+08,4.75E+08,5.15369,11.98079
0.06995,4.68E+08,5.76E+08,8.82626,15.04241
0.13991,6.10E+08,6.76E+08,12.50308,18.10402
0.20986,7.35E+08,7.68E+08,15.72637,20.78081
0.27981,6.50E+08,7.45E+08,12.95972,18.37455
0.34977,5.64E+08,7.21E+08,10.19583,15.96831
0.41972,4.96E+08,6.99E+08,7.99178,13.87968
0.48967,5.35E+08,6.85E+08,9.20429,13.72988
0.55963,5.75E+08,6.70E+08,10.4127,13.58006
0.62958,6.14E+08,6.47E+08,11.4513,13.21318
0.69953,6.51E+08,5.94E+08,11.85593,12.03532
0.76949,6.88E+08,5.41E+08,12.26262,10.85742
0.83944,6.88E+08,5.07E+08,11.88179,9.92982
0.90939,5.90E+08,5.22E+08,9.49076,9.64099
0.97935,4.92E+08,5.37E+08,7.09889,9.35217
1.0493,4.37E+08,5.80E+08,5.75803,9.87224
1.11925,4.61E+08,6.71E+08,6.35263,11.88203
1.18921,4.85E+08,7.63E+08,6.94681,13.89183
1.25916,5.35E+08,8.18E+08,7.92138,15.15103
1.32911,6.21E+08,8.22E+08,9.41742,15.38338
1.39907,7.08E+08,8.26E+08,10.915,15.61571
1.46902,7.50E+08,8.15E+08,11.62725,15.12536
1.53897,7.47E+08,7.88E+08,11.52993,13.89087
1.60893,7.44E+08,7.62E+08,11.43164,12.65635
1.67888,7.37E+08,7.42E+08,11.30777,11.66149
1.74883,7.29E+08,7.27E+08,11.21084,10.85271
1.81879,7.22E+08,7.12E+08,11.15026,10.04393
1.88874,7.56E+08,7.09E+08,11.55958,10.00141
1.95869,8.16E+08,7.13E+08,12.4046,10.40224
2.02865,8.78E+08,7.17E+08,13.34435,10.80312
2.0986,9.34E+08,6.97E+08,14.63407,10.30293
2.16855,9.79E+08,6.66E+08,15.69563,9.42356
2.23851,1.02E+09,6.35E+08,16.59925,8.54417
2.30846,9.99E+08,6.05E+08,15.92652,7.70083
2.37841,9.56E+08,5.75E+08,14.78465,6.86803
2.44837,9.13E+08,5.45E+08,13.63999,6.03521
2.51832,8.83E+08,5.68E+08,12.53532,6.65841
2.58827,8.77E+08,6.00E+08,12.41023,7.54953
2.65822,8.76E+08,6.32E+08,12.46404,8.44067
2.72818,9.09E+08,6.65E+08,13.07156,8.55863
2.79813,9.23E+08,6.98E+08,12.75308,8.6047
2.86808,9.34E+08,7.30E+08,12.3438,8.65078
2.93804,9.29E+08,7.01E+08,12.47716,7.93068
3.00799,9.15E+08,6.71E+08,12.21638,7.19915
3.07794,9.01E+08,6.45E+08,11.93498,6.5385
3.1479,8.88E+08,6.71E+08,11.41991,7.07875
3.21785,8.81E+08,6.98E+08,11.16345,7.61901
3.2878,8.76E+08,7.24E+08,10.84778,8.1124
3.35776,8.82E+08,7.55E+08,10.16971,8.28093
3.42771,9.03E+08,7.85E+08,9.82429,8.44948
3.49766,9.28E+08,8.10E+08,9.76474,8.60697
3.56762,9.72E+08,8.10E+08,10.89015,8.71919
3.63757,1.01E+09,8.11E+08,12.08009,8.8314
3.70752,1.04E+09,8.30E+08,13.02038,9.18645
3.77748,1.04E+09,9.00E+08,13.22546,10.20846
3.84743,1.04E+09,9.69E+08,13.29524,11.23047
3.91738,1.03E+09,1.02E+09,13.22813,12.104
3.98734,1.03E+09,1.05E+09,12.92949,12.68568
4.05729,1.02E+09,1.07E+09,12.7045,13.26738
4.12724,1.04E+09,1.09E+09,12.96373,13.6322
4.1972,1.09E+09,1.09E+09,13.85084,13.68193
4.26715,1.14E+09,1.10E+09,14.62779,13.7317
4.3371,1.16E+09,1.11E+09,14.78267,13.93588
4.40706,1.16E+09,1.12E+09,14.29578,14.3087
4.47701,1.16E+09,1.14E+09,13.84994,14.68157
4.54696,1.15E+09,1.14E+09,13.42878,14.92084
4.61692,1.11E+09,1.13E+09,12.79633,15.05006
4.68687,1.06E+09,1.13E+09,11.97317,15.17931
4.75682,1.04E+09,1.14E+09,11.57036,15.47995
4.82678,1.07E+09,1.17E+09,11.69961,15.88616
4.89673,1.10E+09,1.20E+09,11.9971,16.29238
4.96668,1.12E+09,1.20E+09,12.56488,16.25681
5.03664,1.14E+09,1.20E+09,13.26151,16.02192
5.10659,1.16E+09,1.20E+09,13.96125,15.78704
5.17654,1.17E+09,1.21E+09,14.43051,15.96548
5.2465,1.17E+09,1.22E+09,14.72075,16.27484
5.31645,1.18E+09,1.23E+09,14.97737,16.58423
5.3864,1.18E+09,1.23E+09,15.26984,16.56093
5.45636,1.19E+09,1.22E+09,15.65482,16.46942
5.52631,1.20E+09,1.21E+09,16.05727,16.37795
5.59626,1.20E+09,1.22E+09,16.1977,16.44799
5.66622,1.20E+09,1.22E+09,16.26264,16.5359
5.73617,1.19E+09,1.22E+09,16.32249,16.62379
5.80612,1.19E+09,1.21E+09,15.97715,16.02615
5.87608,1.19E+09,1.19E+09,15.69211,15.40776
5.94603,1.19E+09,1.17E+09,15.41103,14.80143
6.01598,1.19E+09,1.16E+09,15.17107,14.47733
6.08594,1.18E+09,1.15E+09,14.95031,14.15319
6.15589,1.18E+09,1.14E+09,14.75499,13.91382
6.22584,1.18E+09,1.16E+09,14.74445,14.3502
6.2958,1.17E+09,1.18E+09,14.58834,14.78659
6.36575,1.17E+09,1.19E+09,14.45968,15.15056
6.4357,1.19E+09,1.20E+09,14.5074,15.18874
6.50566,1.23E+09,1.20E+09,14.7926,15.22692
6.57561,1.27E+09,1.21E+09,15.15398,15.23667
6.64556,1.30E+09,1.21E+09,15.73577,15.16211
6.71552,1.32E+09,1.21E+09,16.30141,15.08756
6.78547,1.33E+09,1.21E+09,16.6435,15.03131
6.85542,1.31E+09,1.20E+09,16.43345,15.0134
6.92538,1.29E+09,1.20E+09,16.0495,14.99549
6.99533,1.27E+09,1.20E+09,15.84397,15.01839
7.06528,1.25E+09,1.21E+09,15.87175,15.10436
7.13524,1.23E+09,1.22E+09,15.83423,15.1903
7.20519,1.23E+09,1.23E+09,15.80687,15.34806
7.27514,1.24E+09,1.24E+09,15.90681,15.58897
7.3451,1.26E+09,1.26E+09,16.14056,15.82987
7.41505,1.28E+09,1.26E+09,16.54722,15.82023
7.485,1.31E+09,1.25E+09,17.1144,15.5918
7.55495,1.33E+09,1.24E+09,17.68976,15.36332
7.62491,1.34E+09,1.23E+09,17.98435,14.81741
7.69486,1.34E+09,1.21E+09,18.04516,14.06337
7.76481,1.34E+09,1.19E+09,18.0733,13.30938
7.83477,1.35E+09,1.20E+09,18.30785,13.31388
7.90472,1.37E+09,1.21E+09,18.70412,13.68444
7.97467,1.39E+09,1.22E+09,19.13038,14.05501
8.04463,1.41E+09,1.22E+09,19.42653,14.16117
8.11458,1.42E+09,1.21E+09,19.78469,14.17676
8.18453,1.44E+09,1.20E+09,20.17933,14.19234
8.25449,1.43E+09,1.19E+09,20.20455,14.01442
8.32444,1.42E+09,1.17E+09,19.90743,13.79265
8.39439,1.41E+09,1.16E+09,19.5562,13.57083
8.46435,1.39E+09,1.15E+09,19.0797,13.20103
8.5343,1.38E+09,1.14E+09,18.56665,12.81211
8.60425,1.37E+09,1.13E+09,18.05093,12.42319
8.67421,1.37E+09,1.13E+09,18.22251,12.54536
8.74416,1.38E+09,1.13E+09,18.44947,12.69105
8.81411,1.38E+09,1.13E+09,18.67057,12.83788
8.88407,1.38E+09,1.13E+09,18.63539,13.02681
8.95402,1.38E+09,1.13E+09,18.67331,13.21573
9.02397,1.38E+09,1.13E+09,18.66663,13.36101
9.09393,1.37E+09,1.13E+09,18.23982,13.09901
9.16388,1.35E+09,1.13E+09,17.77853,12.837
9.23383,1.34E+09,1.13E+09,17.44514,12.63069
9.30379,1.34E+09,1.13E+09,17.73619,12.70151
9.37374,1.34E+09,1.13E+09,17.96275,12.77237
9.44369,1.35E+09,1.14E+09,18.13389,12.86206
9.51365,1.36E+09,1.15E+09,18.17378,13.01223
9.5836,1.38E+09,1.15E+09,18.36386,13.1624
9.65355,1.38E+09,1.15E+09,18.39836,13.11281
9.72351,1.37E+09,1.13E+09,18.07112,12.61407
9.79346,1.36E+09,1.11E+09,17.71698,12.11534
9.86341,1.34E+09,1.11E+09,17.35417,11.87517
9.93337,1.32E+09,1.12E+09,16.91519,12.0599
10.00332,1.29E+09,1.12E+09,16.37448,12.24462
10.07327,1.28E+09,1.12E+09,16.10057,12.27897
10.14323,1.28E+09,1.12E+09,16.19175,12.12851
10.21318,1.29E+09,1.11E+09,16.32878,11.97804
10.28313,1.29E+09,1.11E+09,16.33843,11.89902
10.35309,1.30E+09,1.11E+09,16.28493,11.88619
10.42304,1.31E+09,1.12E+09,16.28242,11.87332
10.49299,1.33E+09,1.11E+09,16.73174,11.67348
10.56295,1.37E+09,1.09E+09,17.57865,11.34337
10.6329,1.40E+09,1.08E+09,18.48324,11.01324
10.70285,1.40E+09,1.07E+09,18.83081,10.96955
10.77281,1.39E+09,1.08E+09,18.64222,11.07353
10.84276,1.38E+09,1.08E+09,18.32529,11.1775
10.91271,1.37E+09,1.09E+09,17.90757,11.43851
10.98267,1.35E+09,1.10E+09,17.55391,11.75753
11.05262,1.34E+09,1.12E+09,17.23763,12.07655
11.12257,1.33E+09,1.11E+09,16.96247,11.95805
11.19253,1.32E+09,1.11E+09,16.68261,11.73054
11.26248,1.30E+09,1.10E+09,16.39903,11.50307
11.33243,1.30E+09,1.10E+09,16.13475,11.50337
11.40239,1.31E+09,1.10E+09,16.00972,11.53741
11.47234,1.31E+09,1.11E+09,15.90488,11.57146
11.54229,1.32E+09,1.11E+09,16.18075,11.56058
11.61225,1.33E+09,1.11E+09,16.38425,11.54692
11.6822,1.33E+09,1.11E+09,16.57937,11.52864
11.75215,1.33E+09,1.09E+09,16.57128,11.12281
11.82211,1.32E+09,1.06E+09,16.49958,10.71699
11.89206,1.32E+09,1.04E+09,16.44184,10.30349
11.96201,1.32E+09,1.02E+09,16.54324,9.80438
12.03197,1.33E+09,1.00E+09,16.68116,9.30525
12.10192,1.33E+09,9.89E+08,16.80057,8.90261
12.17187,1.34E+09,9.93E+08,16.82448,9.03626
12.24183,1.35E+09,9.96E+08,16.88618,9.16988
12.31178,1.35E+09,1.00E+09,16.94621,9.35024
12.38173,1.35E+09,1.02E+09,16.99165,9.69348
12.45169,1.35E+09,1.04E+09,17.00601,10.0367
12.52164,1.34E+09,1.05E+09,16.99351,10.32799
12.59159,1.34E+09,1.05E+09,16.93527,10.49412
12.66154,1.34E+09,1.05E+09,16.92276,10.66025
12.7315,1.35E+09,1.05E+09,16.94279,10.74409
12.80145,1.35E+09,1.06E+09,16.97813,10.68393
12.8714,1.35E+09,1.06E+09,16.94061,10.62378
12.94136,1.35E+09,1.06E+09,16.77464,10.70214
13.01131,1.35E+09,1.07E+09,16.58173,10.96117
13.08126,1.36E+09,1.07E+09,16.57192,11.22018
13.15122,1.35E+09,1.08E+09,16.54797,11.32913
13.22117,1.34E+09,1.09E+09,16.33107,11.2906
13.29112,1.32E+09,1.09E+09,15.93823,11.25208
13.36108,1.31E+09,1.08E+09,15.56635,11.09841
13.43103,1.30E+09,1.07E+09,15.24405,10.85956
13.50098,1.29E+09,1.05E+09,14.94691,10.6207
13.57094,1.30E+09,1.03E+09,15.33421,10.41286
13.64089,1.33E+09,1.02E+09,16.11894,10.22207
13.71084,1.35E+09,1.01E+09,16.91527,10.03126
13.7808,1.33E+09,1.02E+09,16.9256,10.28524
13.85075,1.30E+09,1.04E+09,16.46986,10.716
13.9207,1.27E+09,1.06E+09,15.95304,11.14679
13.99066,1.28E+09,1.06E+09,15.76603,11.0367
14.06061,1.29E+09,1.05E+09,15.83021,10.77928
14.13056,1.30E+09,1.03E+09,15.93835,10.52182
14.20052,1.31E+09,1.04E+09,15.96307,10.49396
14.27047,1.31E+09,1.04E+09,15.98629,10.50463
14.34042,1.31E+09,1.05E+09,16.01166,10.51527
14.41038,1.30E+09,1.05E+09,15.97863,10.52028
14.48033,1.30E+09,1.05E+09,15.92663,10.52477
14.55028,1.30E+09,1.06E+09,15.87349,10.52933
14.62024,1.30E+09,1.06E+09,16.06707,10.53157
14.69019,1.31E+09,1.06E+09,16.29643,10.5338
14.76014,1.32E+09,1.06E+09,16.48183,10.51565
14.8301,1.30E+09,1.05E+09,16.05851,10.21559
14.90005,1.29E+09,1.04E+09,15.63813,9.91553
14.97,1.27E+09,1.03E+09,15.20922,9.67656
15.03996,1.26E+09,1.04E+09,14.72879,9.81967
15.10991,1.25E+09,1.06E+09,14.25971,9.96278
15.17986,1.25E+09,1.06E+09,13.89085,10.09016
15.24982,1.26E+09,1.06E+09,13.9418,10.15772
15.31977,1.27E+09,1.06E+09,14.14069,10.22527
15.38972,1.27E+09,1.05E+09,14.34885,10.21521
15.45968,1.27E+09,1.03E+09,14.50257,10.00414
15.52963,1.26E+09,1.01E+09,14.4533,9.79307
15.59958,1.25E+09,1.00E+09,14.26658,9.7437
15.66954,1.23E+09,1.02E+09,13.7788,9.99604
15.73949,1.21E+09,1.03E+09,13.20782,10.24839
15.80944,1.20E+09,1.04E+09,12.92312,10.39815
15.8794,1.21E+09,1.05E+09,13.10948,10.40593
15.94935,1.22E+09,1.05E+09,13.3993,10.41368
16.0193,1.24E+09,1.05E+09,13.68092,10.37963
16.08926,1.25E+09,1.05E+09,13.97241,10.30199
16.15921,1.26E+09,1.05E+09,14.28311,10.22434
16.22916,1.26E+09,1.05E+09,14.12619,10.34145
16.29912,1.23E+09,1.06E+09,13.55835,10.61154
16.36907,1.20E+09,1.07E+09,12.95622,10.88163
16.43902,1.20E+09,1.05E+09,12.83672,10.68057
16.50898,1.21E+09,1.03E+09,13.02405,10.20334
16.57893,1.21E+09,1.01E+09,13.22545,9.72609
16.64888,1.22E+09,9.93E+08,13.297,9.40202
16.71884,1.22E+09,9.84E+08,13.36396,9.14328
16.78879,1.23E+09,9.74E+08,13.45262,8.88456
16.85874,1.22E+09,9.66E+08,13.31691,8.81088
16.9287,1.22E+09,9.57E+08,13.0972,8.79208
16.99865,1.21E+09,9.49E+08,12.87228,8.7733
17.0686,1.21E+09,9.39E+08,12.89713,8.67837
17.13856,1.21E+09,9.29E+08,12.83724,8.56909
17.20851,1.21E+09,9.20E+08,12.75257,8.45983
17.27846,1.21E+09,9.04E+08,12.76538,8.25479
17.34842,1.20E+09,8.88E+08,12.87034,8.04051
17.41837,1.20E+09,8.73E+08,12.98329,7.82625
17.48832,1.21E+09,8.86E+08,13.3148,8.0476
17.55827,1.22E+09,9.00E+08,13.6577,8.27675
17.62823,1.24E+09,9.13E+08,13.97913,8.48478
17.69818,1.24E+09,9.10E+08,13.91535,8.31383
17.76813,1.24E+09,9.06E+08,13.90627,8.1429
17.83809,1.24E+09,9.06E+08,13.92683,8.02807
17.90804,1.25E+09,9.29E+08,14.1528,8.3126
17.97799,1.26E+09,9.51E+08,14.33927,8.59712
18.04795,1.26E+09,9.71E+08,14.43283,8.8712
18.1179,1.25E+09,9.77E+08,14.13347,9.10176
18.18785,1.23E+09,9.83E+08,13.80959,9.33235
18.25781,1.22E+09,9.84E+08,13.53829,9.44726
18.32776,1.22E+09,9.73E+08,13.45016,9.23971
18.39771,1.23E+09,9.62E+08,13.46365,9.03212
18.46767,1.23E+09,9.50E+08,13.44342,8.80415
18.53762,1.23E+09,9.33E+08,13.3092,8.53555
18.60757,1.22E+09,9.16E+08,13.08185,8.26694
18.67753,1.23E+09,9.08E+08,13.02752,8.10832
18.74748,1.24E+09,9.12E+08,13.28319,8.11149
18.81743,1.25E+09,9.16E+08,13.62059,8.11466
18.88739,1.25E+09,9.23E+08,13.78622,8.21304
18.95734,1.24E+09,9.35E+08,13.6302,8.41658
19.02729,1.22E+09,9.47E+08,13.32839,8.62014
19.09725,1.22E+09,9.46E+08,13.19965,8.58269
19.1672,1.22E+09,9.34E+08,13.2637,8.34441
19.23715,1.22E+09,9.21E+08,13.36819,8.10615
19.30711,1.23E+09,9.12E+08,13.43639,7.96641
19.37706,1.23E+09,9.05E+08,13.56873,7.88815
19.44701,1.24E+09,8.97E+08,13.7551,7.8099
19.51697,1.25E+09,9.05E+08,13.87503,7.94216
19.58692,1.25E+09,9.20E+08,13.98222,8.17069
19.65687,1.26E+09,9.35E+08,14.09746,8.39922
19.72683,1.24E+09,9.39E+08,13.78002,8.45747
19.79678,1.21E+09,9.40E+08,13.1844,8.46094
19.86673,1.18E+09,9.40E+08,12.54412,8.46441
19.93669,1.18E+09,9.44E+08,12.52546,8.62538
20.00664,1.18E+09,9.48E+08,12.69298,8.81932
20.07659,1.19E+09,9.53E+08,12.87226,9.01325
20.14655,1.19E+09,9.32E+08,12.9281,8.74429
20.2165,1.20E+09,9.09E+08,13.01124,8.42238
20.28645,1.20E+09,8.86E+08,13.09911,8.10047
20.35641,1.19E+09,8.91E+08,12.98402,8.17597
20.42636,1.18E+09,8.97E+08,12.83407,8.26471
20.49631,1.17E+09,9.02E+08,12.67863,8.34767
20.56627,1.16E+09,9.13E+08,12.40843,8.28464
20.63622,1.16E+09,9.24E+08,12.14486,8.2216
20.70617,1.15E+09,9.31E+08,11.90487,8.1173
20.77613,1.15E+09,9.12E+08,11.85632,7.674
20.84608,1.14E+09,8.92E+08,11.78811,7.23073
20.91603,1.14E+09,8.76E+08,11.75275,6.88496
20.98599,1.14E+09,8.75E+08,11.87818,6.98698
21.05594,1.15E+09,8.73E+08,12.04961,7.08901
21.12589,1.15E+09,8.75E+08,12.12886,7.25107
21.19585,1.15E+09,8.86E+08,11.93706,7.59395
21.2658,1.15E+09,8.97E+08,11.765,7.93682
21.33575,1.15E+09,9.03E+08,11.66902,8.15842
21.40571,1.15E+09,8.95E+08,11.71705,8.12187
21.47566,1.15E+09,8.88E+08,11.72685,8.08532
21.54561,1.15E+09,8.79E+08,11.81105,7.93805
21.61557,1.16E+09,8.69E+08,12.02508,7.61763
21.68552,1.17E+09,8.59E+08,12.2603,7.29719
21.75547,1.18E+09,8.59E+08,12.46807,7.22411
21.82543,1.18E+09,8.72E+08,12.62387,7.44092
21.89538,1.19E+09,8.84E+08,12.75641,7.65772
21.96533,1.18E+09,8.92E+08,12.68044,7.74134
22.03529,1.17E+09,8.96E+08,12.39902,7.70721
22.10524,1.15E+09,9.00E+08,12.0989,7.6731
22.17519,1.15E+09,8.92E+08,11.99924,7.58651
22.24515,1.15E+09,8.74E+08,12.09006,7.4651
22.3151,1.16E+09,8.56E+08,12.21896,7.3437
22.38505,1.15E+09,8.45E+08,12.07364,7.30073
22.45501,1.14E+09,8.38E+08,11.79299,7.29612
22.52496,1.13E+09,8.30E+08,11.51179,7.29151
22.59491,1.14E+09,8.30E+08,11.64932,7.26129
22.66486,1.15E+09,8.32E+08,11.95577,7.22216
22.73482,1.17E+09,8.34E+08,12.27025,7.18306
22.80477,1.16E+09,8.38E+08,12.34551,7.23133
22.87472,1.16E+09,8.43E+08,12.20725,7.29981
22.94468,1.15E+09,8.48E+08,12.03244,7.36828
23.01463,1.14E+09,8.48E+08,11.77129,7.31748
23.08458,1.13E+09,8.47E+08,11.57341,7.25081
23.15454,1.12E+09,8.47E+08,11.38547,7.18416
23.22449,1.12E+09,8.38E+08,11.45582,7.07197
23.29444,1.13E+09,8.29E+08,11.60328,6.95755
23.3644,1.14E+09,8.20E+08,11.75418,6.84262
23.43435,1.14E+09,8.14E+08,11.91422,6.70711
23.5043,1.15E+09,8.07E+08,12.03998,6.57161
23.57426,1.16E+09,8.03E+08,12.14429,6.47658
23.64421,1.15E+09,8.22E+08,12.04201,6.77241
23.71416,1.15E+09,8.41E+08,11.94114,7.06824
23.78412,1.14E+09,8.58E+08,11.86026,7.31587
23.85407,1.14E+09,8.62E+08,11.87897,7.31825
23.92402,1.14E+09,8.66E+08,11.88764,7.32063
23.99398,1.13E+09,8.64E+08,11.77367,7.29324
24.06393,1.11E+09,8.45E+08,11.2622,7.16874
24.13388,1.10E+09,8.26E+08,10.75952,7.04424
24.20384,1.09E+09,8.09E+08,10.43311,6.92438
24.27379,1.09E+09,7.97E+08,10.51125,6.81511
24.34374,1.10E+09,7.86E+08,10.59585,6.7058
24.4137,1.09E+09,7.79E+08,10.60857,6.59316
24.48365,1.09E+09,7.78E+08,10.49775,6.47495
24.5536,1.08E+09,7.78E+08,10.38014,6.35673
24.62356,1.07E+09,7.75E+08,10.33728,6.27733
24.69351,1.08E+09,7.70E+08,10.38751,6.2462
24.76346,1.08E+09,7.64E+08,10.438,6.21507
24.83342,1.09E+09,7.62E+08,10.56134,6.15283
24.90337,1.09E+09,7.64E+08,10.75662,6.06143
24.97332,1.10E+09,7.67E+08,10.9553,5.97004
25.04328,1.10E+09,7.67E+08,11.01225,5.94855
25.11323,1.10E+09,7.66E+08,10.99903,5.97636
25.18318,1.09E+09,7.65E+08,11.00683,6.00414
25.25314,1.09E+09,7.65E+08,10.88417,6.03904
25.32309,1.08E+09,7.64E+08,10.63557,6.07764
25.39304,1.08E+09,7.63E+08,10.35677,6.11625
25.463,1.08E+09,7.71E+08,10.32868,6.21512
25.53295,1.09E+09,7.81E+08,10.43064,6.33658
25.6029,1.10E+09,7.91E+08,10.54616,6.45807
25.67286,1.11E+09,7.93E+08,10.71137,6.45303
25.74281,1.12E+09,7.93E+08,10.89428,6.4159
25.81276,1.12E+09,7.94E+08,11.07848,6.37877
25.88272,1.12E+09,7.94E+08,11.04516,6.3027
25.95267,1.12E+09,7.95E+08,10.99437,6.22075
26.02262,1.12E+09,7.96E+08,10.94593,6.13878
26.09258,1.11E+09,7.84E+08,10.91267,6.04015
26.16253,1.10E+09,7.71E+08,10.774,5.94042
26.23248,1.09E+09,7.58E+08,10.6259,5.8404
26.30244,1.08E+09,7.55E+08,10.20471,5.70885
26.37239,1.06E+09,7.52E+08,9.8628,5.5773
26.44234,1.05E+09,7.50E+08,9.58054,5.47336
26.5123,1.07E+09,7.57E+08,9.98984,5.69049
26.58225,1.08E+09,7.63E+08,10.37594,5.90762
26.6522,1.10E+09,7.67E+08,10.67542,6.06878
26.72216,1.09E+09,7.57E+08,10.48977,5.91153
