Time [min],Droplet Removal Rate [0.3um],Droplet Removal Rate [0.5um],Droplet Removal Rate [1.0um]
26,6822.543,6755.007,5861.16
26.1,6558.0672,6493.1442,5456.6274
26.2,6501.6666,6437.3064,5278.5012
26.3,6717.2592,6650.7684,5674.029
26.4,7254.6126,7182.8154,6515.3748
26.5,7222.332,7150.8564,6503.6766
26.6,7056.7482,6986.8806,6218.8596
26.7,7163.5596,7092.6468,6411.8598
26.8,6861.0144,6793.1166,5957.7204
26.9,6808.9554,6741.54,5899.2294
27,6963.6852,6894.7422,6064.4112
27.1,6979.9662,6910.8624,6105.6564
27.2,6891.9282,6823.7088,5983.3278
27.3,7180.4034,7109.3298,6496.2396
27.4,6720.9174,6654.3864,5701.8072
27.5,6791.388,6724.1736,5820.1158
27.6,6930.7614,6862.14,6042.663
27.7,7157.4492,7086.6168,6399.438
27.8,7169.1474,7098.1944,6433.3668
27.9,6940.9722,6872.2704,6087.8076
28,6934.5402,6865.9188,6058.0596
28.1,7146.5148,7075.7628,6343.158
28.2,7087.5012,7017.3522,6310.4352
28.3,6825.7188,6758.1426,5887.7724
28.4,6814.9854,6747.5298,5827.4322
28.5,6623.352,6557.7858,5536.2636
28.6,6693.501,6627.2514,5642.9142
28.7,6549.585,6484.7424,5389.2522
28.8,6464.1198,6400.1214,5191.3074
28.9,6601.4832,6536.1582,5463.3408
29,7466.0646,7392.177,6858.2808
29.1,7361.3838,7288.5012,6682.8078
29.2,7095.903,7025.6736,6295.8024
29.3,7172.6448,7101.6516,6410.091
29.4,7046.3364,6976.5894,6222.9198
29.5,6909.3348,6840.9546,6040.3314
29.6,6966.7404,6897.7974,6135.7662
29.7,6716.8572,6650.3664,5698.1088
29.8,7008.468,6939.0828,6124.5504
29.9,7205.0862,7133.7714,6524.5806
30,7048.1856,6978.4386,6210.2166
30.1,6709.5408,6643.1304,5669.3658
30.2,6605.664,6540.2988,5502.5358
30.3,6769.1574,6702.144,5759.1726
30.4,6814.101,6746.6454,5827.392
30.5,6919.1436,6850.6428,6027.3468
30.6,6784.6746,6717.5004,5831.4522
30.7,7119.5406,7049.07,6321.048
30.8,6886.8228,6818.6436,6010.8648
30.9,6802.2822,6734.9472,5823.372
31,6785.2776,6718.1034,5815.5732
31.1,6666.0042,6600.036,5622.4926
31.2,6720.234,6653.703,5688.6618
31.3,6876.1296,6808.071,5923.3494
31.4,6809.9604,6742.545,5874.1044
31.5,6788.172,6720.9978,5795.2722
31.6,7334.691,7262.0898,6699.129
31.7,7034.9196,6965.2932,6189.0714
31.8,6734.907,6668.2554,5717.646
31.9,6664.9188,6598.9506,5545.791
32,6535.8768,6471.195,5333.8164
32.1,6785.0364,6717.8622,5793.7848
32.2,6989.6946,6920.5104,6120.651
32.3,6951.2634,6882.441,6086.4408
32.4,7247.1756,7175.4588,6538.0074
32.5,6818.322,6750.8262,5910.2442
32.6,6573.2226,6508.179,5471.0592
32.7,6545.4846,6480.6822,5338.4796
32.8,6482.1294,6417.9702,5223.4272
32.9,6439.7184,6375.9612,5152.3134
33,6520.038,6455.517,5335.7058
33.1,6712.5558,6646.1052,5620.8042
33.2,6636.7386,6571.0518,5516.3646
33.3,7343.736,7271.0544,6650.286
33.4,7235.0352,7163.439,6501.3852
33.5,6854.2608,6786.4032,5921.7012
33.6,6836.7738,6769.1172,5868.7176
33.7,6619.1712,6553.6452,5512.3044
33.8,6678.3054,6612.2166,5585.4282
33.9,6791.1066,6723.8922,5789.5638
34,6674.004,6607.9554,5655.1752
34.1,6965.8962,6896.9532,6014.925
34.2,7006.056,6936.711,6176.0466
34.3,6722.1234,6655.5924,5724.078
34.4,6636.819,6571.1322,5543.9016
34.5,6637.9446,6572.2578,5513.9928
34.6,6886.1796,6818.0004,5973.7602
34.7,6857.115,6789.2574,5913.3396
34.8,6762.5244,6695.5914,5794.227
34.9,6613.302,6547.8564,5541.369
35,7262.2908,7190.4132,6541.5048
